Date,Station,Item,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/07/30,Sanyi,PM10,46,45,43,48,48,44,46,46,43,42,45,46,38,32,29,28,28,27,28,26,24,28,29,24
2014/08/01,Sanyi,PM10,45,42,37,31,31,27,23,27,29,34,39,42,40,38,43,44,51,62,48,40,51,50,49,45
2014/08/02,Sanyi,PM10,39,35,32,32,29,24,24,27,28,32,34,34,37,34,33,29,27,28,28,28,34,35,32,32
2014/08/03,Sanyi,PM10,33,34,34,35,33,31,31,31,32,31,26,24,26,27,28,26,24,29,31,27,26,27,22,18
2014/08/04,Sanyi,PM10,20,17,15,13,9,9,15,20,23,24,27,29,29,26,22,24,24,24,20,23,26,23,24,26
2014/08/05,Sanyi,PM10,26,24,24,27,27,22,17,17,12,11,11,4,1,2,5,7,9,10,11,15,18,21,18,17
2014/08/08,Sanyi,PM10,20,18,13,10,17,18,15,15,13,13,18,22,26,29,29,32,31,31,37,39,37,26,17,18
2014/08/09,Sanyi,PM10,16,12,12,12,10,11,12,16,16,18,21,21,26,29,28,31,23,12,13,18,20,17,18,16
2014/08/10,Sanyi,PM10,10,9,12,12,13,16,11,6,7,13,15,16,17,21,18,10,6,10,13,12,10,10,13,13
2014/08/12,Sanyi,PM10,21,21,13,10,10,11,15,16,17,35,33,18,27,26,16,11,13,18,20,18,16,12,15,16
2014/08/13,Sanyi,PM10,13,11,9,9,9,7,10,10,13,17,11,6,9,10,13,16,15,10,10,11,10,9,10,11
2014/08/14,Sanyi,PM10,11,11,13,11,10,12,12,12,15,18,20,26,23,17,18,21,24,24,26,26,26,26,27,27
2014/08/15,Sanyi,PM10,24,24,27,26,22,24,28,28,34,33,28,37,44,40,33,34,35,28,27,34,45,49,45,42
2014/08/16,Sanyi,PM10,38,34,31,28,26,21,22,23,23,27,27,29,38,42,43,43,37,35,37,37,42,45,45,39
2014/08/17,Sanyi,PM10,32,31,28,29,27,27,28,26,24,24,31,37,39,42,40,38,33,49,53,35,38,35,35,46
2014/08/18,Sanyi,PM10,43,32,27,24,24,23,24,27,29,27,27,29,31,28,22,22,21,16,15,17,16,13,16,13
2014/08/20,Sanyi,PM10,15,16,15,13,15,15,15,16,15,18,22,22,27,27,21,24,34,38,34,33,33,31,24,16
2014/08/22,Sanyi,PM10,26,26,27,32,37,39,44,46,37,31,33,37,42,38,24,20,17,18,26,28,28,31,28,28
2014/08/23,Sanyi,PM10,31,31,29,26,27,28,26,26,27,31,28,22,22,18,15,17,20,21,39,45,35,35,34,33
2014/08/24,Sanyi,PM10,33,33,29,26,22,22,26,26,23,24,33,38,35,33,31,34,33,28,27,29,32,32,32,34
2014/08/25,Sanyi,PM10,35,29,28,29,22,20,21,23,29,43,49,44,39,31,22,21,23,21,18,20,23,23,20,18
2014/08/26,Sanyi,PM10,20,18,20,20,15,17,21,20,16,21,29,33,37,29,22,21,20,23,29,32,29,32,35,38
2014/08/27,Sanyi,PM10,40,42,38,32,33,34,35,33,34,44,59,66,62,57,45,35,35,38,34,22,13,16,22,34
2014/08/28,Sanyi,PM10,39,34,37,39,34,26,29,33,31,34,40,42,37,32,28,28,33,37,35,38,38,35,37,38
2014/08/30,Sanyi,PM10,34,34,32,29,26,24,23,18,21,27,37,46,53,54,51,45,37,26,21,22,21,20,22,27
2014/08/31,Sanyi,PM10,27,21,21,23,22,18,21,23,20,18,22,28,37,43,44,40,33,26,27,26,26,31,34,38
2014/09/02,Sanyi,PM10,31,32,33,34,33,33,34,61,65,42,50,56,46,40,32,23,23,24,23,26,26,23,28,29
2014/09/03,Sanyi,PM10,32,35,37,39,35,33,31,32,44,48,42,40,35,27,20,16,18,21,23,32,31,28,31,26
2014/09/04,Sanyi,PM10,24,27,28,26,23,26,28,29,27,23,34,39,38,42,40,38,44,46,44,38,29,31,38,38
2014/09/05,Sanyi,PM10,33,32,37,39,39,42,37,35,38,40,42,44,40,31,29,26,27,31,31,27,27,29,33,33
2014/09/06,Sanyi,PM10,29,28,27,23,22,23,28,33,38,44,51,56,65,62,50,35,27,29,31,31,29,27,22,33
2014/09/07,Sanyi,PM10,45,45,48,44,40,40,38,34,34,33,37,43,40,42,49,48,38,42,55,51,43,44,42,35
2014/09/08,Sanyi,PM10,32,31,29,29,28,27,29,29,27,26,28,34,34,27,21,12,10,17,18,21,28,29,23,21
2014/09/11,Sanyi,PM10,22,23,24,24,26,28,29,33,35,35,39,35,34,32,23,21,20,23,35,43,39,45,43,34
2014/09/12,Sanyi,PM10,34,35,39,46,50,48,45,37,29,32,29,23,21,17,15,15,22,24,23,23,21,20,18,17
2014/09/13,Sanyi,PM10,20,18,18,21,18,13,13,15,13,17,23,26,22,20,21,20,17,16,17,20,21,23,22,23
2014/09/14,Sanyi,PM10,28,31,32,31,29,26,24,26,28,33,29,24,26,21,23,22,24,42,49,51,48,46,43,33
2014/09/15,Sanyi,PM10,29,31,31,29,29,27,23,20,20,38,55,65,67,68,68,57,46,46,48,45,35,29,33,34
2014/09/17,Sanyi,PM10,40,37,34,37,39,37,32,37,43,46,46,44,46,50,50,45,48,56,56,53,55,61,61,53
2014/09/18,Sanyi,PM10,48,48,46,49,51,53,50,46,48,45,49,57,66,64,54,57,60,59,55,53,53,50,50,49
2014/09/19,Sanyi,PM10,50,57,57,53,54,54,51,54,62,71,67,57,54,61,66,62,66,67,64,61,54,53,51,56
2014/09/20,Sanyi,PM10,60,56,57,61,60,56,57,59,60,45,29,35,44,46,49,49,46,42,33,33,37,37,27,17
2014/09/21,Sanyi,PM10,16,17,21,18,15,17,21,26,31,28,33,48,48,40,45,54,54,50,39,24,28,32,28,23
2014/09/22,Sanyi,PM10,20,13,9,6,1,1,4,6,6,6,13,27,37,40,45,46,38,29,29,33,35,31,22,23
